Timestamp,Pred_X,Pred_Y,Pred_Z,Q_X,Q_Y,Q_Z,Q_W
1653512819.974014044,-0.012729347,-0.002865291,0.054352280,0.393104166,0.919307888,0.003921021,-0.018075686
1653512820.041181087,-0.012729347,-0.002865291,0.054352280,0.393104166,0.919307888,0.003921021,-0.018075686
1653512820.108040333,-0.018258274,-0.005436132,0.059011910,0.392440915,0.919568121,0.004201960,-0.019154999
1653512820.174011230,-0.018258274,-0.005436132,0.059011910,0.392440915,0.919568121,0.004201960,-0.019154999
1653512820.253572702,-0.020376684,-0.005003977,0.065142587,0.392300069,0.919601142,0.003928579,-0.020467749
1653512820.307587862,-0.020376684,-0.005003977,0.065142587,0.392300069,0.919601142,0.003928579,-0.020467749
1653512820.374381781,-0.018540200,-0.003192543,0.073337026,0.392997295,0.919297874,0.004417232,-0.020616310
1653512820.440673590,-0.018540200,-0.003192543,0.073337026,0.392997295,0.919297874,0.004417232,-0.020616310
1653512820.507613420,-0.013223858,0.003601078,0.080576174,0.394834280,0.918514609,0.003975935,-0.020518793
1653512820.573939562,-0.013223858,0.003601078,0.080576174,0.394834280,0.918514609,0.003975935,-0.020518793
1653512820.640833378,-0.008462558,0.016405545,0.091771573,0.396851987,0.917643666,0.003836787,-0.020588251
1653512820.707390785,-0.008462558,0.016405545,0.091771573,0.396851987,0.917643666,0.003836787,-0.020588251
1653512820.774464369,-0.000477588,0.039485164,0.108728610,0.399063379,0.916672409,0.006099564,-0.020563539
1653512820.840949297,-0.000477588,0.039485164,0.108728610,0.399063379,0.916672409,0.006099564,-0.020563539
1653512820.907406807,0.010431003,0.072589412,0.130531102,0.401862830,0.915414035,0.010826254,-0.020154782
1653512820.975776911,0.010431003,0.072589412,0.130531102,0.401862830,0.915414035,0.010826254,-0.020154782
1653512821.044144869,0.022657407,0.117627144,0.167602658,0.405005366,0.913930357,0.017812213,-0.019614620
1653512821.107654095,0.022657407,0.117627144,0.167602658,0.405005366,0.913930357,0.017812213,-0.019614620
1653512821.175495625,0.034230936,0.168551773,0.211935222,0.408482254,0.912226319,0.024680136,-0.019398356
1653512821.240549326,0.034230936,0.168551773,0.211935222,0.408482254,0.912226319,0.024680136,-0.019398356
1653512821.308590174,0.042058699,0.221863389,0.263829857,0.413832188,0.909602642,0.031081665,-0.019996600
1653512821.374742746,0.042058699,0.221863389,0.263829857,0.413832188,0.909602642,0.031081665,-0.019996600
1653512821.445966959,0.041376669,0.272585243,0.325850755,0.419463098,0.906857848,0.034350123,-0.021900974
1653512821.508145571,0.041376669,0.272585243,0.325850755,0.419463098,0.906857848,0.034350123,-0.021900974
1653512821.575905085,0.028976077,0.312587231,0.387837142,0.423404276,0.904951215,0.034989465,-0.023829404
1653512821.640893459,0.028976077,0.312587231,0.387837142,0.423404276,0.904951215,0.034989465,-0.023829404
1653512821.708614826,0.011435173,0.344784468,0.450711608,0.427622706,0.902886868,0.035044976,-0.026569525
1653512821.774208784,0.011435173,0.344784468,0.450711608,0.427622706,0.902886868,0.035044976,-0.026569525
1653512821.840968847,-0.013842568,0.369054765,0.515530288,0.430201262,0.901658237,0.033366390,-0.028740542
1653512821.908558369,-0.013842568,0.369054765,0.515530288,0.430201262,0.901658237,0.033366390,-0.028740542
1653512821.975950718,-0.048296452,0.386837631,0.587422252,0.431032956,0.901277661,0.030672595,-0.031119425
1653512822.042683601,-0.048296452,0.386837631,0.587422252,0.431032956,0.901277661,0.030672595,-0.031119425
1653512822.108957052,-0.086145326,0.402864009,0.664258718,0.431947917,0.900857866,0.027532337,-0.033438187
1653512822.176400661,-0.086145326,0.402864009,0.664258718,0.431947917,0.900857866,0.027532337,-0.033438187
1653512822.241061449,-0.122707225,0.414113194,0.750403166,0.432415903,0.900578856,0.025144357,-0.036632385
1653512822.307558060,-0.122707225,0.414113194,0.750403166,0.432415903,0.900578856,0.025144357,-0.036632385
1653512822.374436378,-0.157804132,0.427224904,0.846634805,0.433203489,0.900102079,0.024020875,-0.039673261
1653512822.440723658,-0.157804132,0.427224904,0.846634805,0.433203489,0.900102079,0.024020875,-0.039673261
1653512822.508008718,-0.195891276,0.437310576,0.950665295,0.432706654,0.900190592,0.024703249,-0.042563412
1653512822.574147224,-0.195891276,0.437310576,0.950665295,0.432706654,0.900190592,0.024703249,-0.042563412
1653512822.644398451,-0.238012761,0.443257719,1.059420466,0.430745035,0.900957763,0.026887283,-0.044843581
1653512822.707651138,-0.238012761,0.443257719,1.059420466,0.430745035,0.900957763,0.026887283,-0.044843581
1653512822.774382114,-0.273346424,0.444012433,1.152338147,0.428822815,0.901764095,0.028523082,-0.046031624
1653512822.840927124,-0.273346424,0.444012433,1.152338147,0.428822815,0.901764095,0.028523082,-0.046031624
1653512822.907576799,-0.301489502,0.443819702,1.246209145,0.427543014,0.902291656,0.030306377,-0.046457045
1653512822.976459026,-0.301489502,0.443819702,1.246209145,0.427543014,0.902291656,0.030306377,-0.046457045
1653512823.040729761,-0.327335447,0.447915107,1.347974181,0.427512050,0.902316868,0.032349557,-0.044846922
1653512823.107409239,-0.327335447,0.447915107,1.347974181,0.427512050,0.902316868,0.032349557,-0.044846922
1653512823.174751043,-0.343625277,0.453647941,1.449202776,0.429437160,0.901457667,0.033530518,-0.042818893
1653512823.250014544,-0.343625277,0.453647941,1.449202776,0.429437160,0.901457667,0.033530518,-0.042818893
1653512823.309221268,-0.355568767,0.458795309,1.561521769,0.432266325,0.900152266,0.034182392,-0.041271035
1653512823.374339342,-0.355568767,0.458795309,1.561521769,0.432266325,0.900152266,0.034182392,-0.041271035
1653512823.448395729,-0.372267336,0.456529647,1.682046652,0.435286373,0.898740470,0.033896286,-0.040526394
1653512823.508929491,-0.372267336,0.456529647,1.682046652,0.435286373,0.898740470,0.033896286,-0.040526394
1653512823.574589729,-0.395269781,0.443297267,1.796693325,0.436034620,0.898456812,0.033027183,-0.039476611
1653512823.640715837,-0.395269781,0.443297267,1.796693325,0.436034620,0.898456812,0.033027183,-0.039476611
1653512823.707232952,-0.424133241,0.417709291,1.918558598,0.436360359,0.898378730,0.030939670,-0.039344963
1653512823.774485350,-0.424133241,0.417709291,1.918558598,0.436360359,0.898378730,0.030939670,-0.039344963
1653512823.840898991,-0.459802657,0.386192679,2.056326866,0.436011434,0.898712575,0.026718715,-0.038676888
1653512823.909199715,-0.459802657,0.386192679,2.056326866,0.436011434,0.898712575,0.026718715,-0.038676888
1653512823.974785089,-0.500874877,0.346854597,2.199983597,0.434373230,0.899617434,0.022153307,-0.038956545
1653512824.040499210,-0.500874877,0.346854597,2.199983597,0.434373230,0.899617434,0.022153307,-0.038956545
1653512824.107287645,-0.539388835,0.304040551,2.346083164,0.432671756,0.900494158,0.017283523,-0.040083993
